blk_size,blk_cnt,scan_0,scan_0_cpu,scan_1,scan_1_cpu,scan_2
512,8,0.000560851011,0.00174415625,1.63303139e-05,8.0875e-05,2.55639698e-05
512,16,0.00205846108,0.00691209375,2.47595326e-05,0.0002158125,4.38943789e-05
512,24,0.00447791303,0.0157760938,3.38523423e-05,0.00029959375,5.03535048e-05
512,32,0.00781339407,0.0261097188,4.23075035e-05,0.00039796875,6.7208879e-05
512,40,0.0120998062,0.0432436562,5.15150969e-05,0.00052284375,8.34628736e-05
512,48,0.0173068475,0.05441325,6.03630651e-05,0.0006433125,9.18185397e-05
512,56,0.0234206952,0.0849420625,6.85710329e-05,0.00076228125,0.00010710075
512,64,0.0305165313,0.114672375,8.14978121e-05,0.0009025625,0.000127041887
512,72,0.0385126583,0.118640812,9.36982833e-05,0.00119390625,0.000139897529
512,80,0.0474158265,0.177614156,0.000102625942,0.0015123125,0.000154234483
512,88,0.0573104694,0.213271437,0.0001122951,0.00131815625,0.000171033142
512,96,0.0680939704,0.23575975,0.000121743222,0.0015445625,0.000182955831
512,104,0.0797855258,0.238136156,0.000130706758,0.0015930625,0.000195776724
512,112,0.0924724862,0.346697313,0.000140372853,0.0017081875,0.0002129981
512,120,0.106035568,0.397419,0.000149799293,0.0018686875,0.000225609256
512,128,0.12050359,0.449323875,0.000158753697,0.0021533125,0.00023783416
512,136,0.135980174,0.496802844,0.00016885504,0.0028385625,0.000255457533
512,144,0.15233919,0.573200188,0.000178171191,0.00312790625,0.000268516567
512,152,0.169565469,0.637713375,0.000187084559,0.002482625,0.000280468201
512,160,0.18783614,0.704897719,0.00019687938,0.00274790625,0.00029734007
512,168,0.206973314,0.586834656,0.000206252167,0.00308146875,0.000310691947
512,176,0.226992443,0.846705719,0.000215156047,0.00329440625,0.000322550768
512,184,0.248055249,0.922032219,0.000224916061,0.00302921875,0.000338604208
512,192,0.269973993,1.01247134,0.000234246108,0.00428571875,0.000352871051
512,200,0.292771846,0.879748094,0.000243363,0.0033325625,0.000364659529
512,208,0.31663534,1.16787087,0.000253005361,0.00394309375,0.000379905687
512,216,0.341344446,1.28441759,0.000262363465,0.00359953125,0.000395046896
512,224,0.366901934,1.38093497,0.000271422847,0.00383340625,0.00040712842
512,232,0.39358592,1.40704369,0.00028108983,0.00400840625,0.000421080331
512,240,0.421061099,1.57692303,0.000290436903,0.004179375,0.000437312381
512,248,0.449382842,1.69157378,0.000299459178,0.0050781875,0.000449436193
512,256,0.478872508,1.80475359,0.000309133698,0.00423825,0.000462592929
